fold_id,model_type,class,f1
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,svm,Rest,0.73809
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,svm,Fist,0.135841
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,svm,Pinch,0.312791
intra_loso_session__VP_01__2026-03-02_12:35:53_5rep,svm,Tripod,0.046048
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,svm,Rest,0.911188
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,svm,Fist,0.955224
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,svm,Pinch,0.914661
intra_loso_session__VP_01__2026-03-03_13:21:53_3rep,svm,Tripod,0.850716
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,svm,Rest,0.876232
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,svm,Fist,0.9163
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,svm,Pinch,0.874227
intra_loso_session__VP_01__2026-03-03_14:31:55_3rep,svm,Tripod,0.78972
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,svm,Rest,0.587349
intra_loso_session__VP_01__2026-03-10_13:44:35_3rep,svm,Fist,0.920354
