fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_01__2026-05-04_11-53-40_3rep,svm,51605,0,2061,0.4662785055798156,0.5097831995307698,,,28.19555711746216,0.5925435108331035,1680140246
intra_loso_session__VP_02__2026-02-04_15:06:58_5rep,svm,12257,0,3636,0.135038503850385,0.0669283910884221,,,4.640564918518066,0.265568199724254,1655976291
intra_loso_session__VP_02__2026-02-24_12:46:57_3rep,svm,14755,0,1138,0.5008787346221442,0.4071474138371265,,,7.438601016998291,0.3444377483508708,431909233
intra_loso_session__VP_02__2026-02-24_12:57:14_5rep,svm,11612,0,4281,0.693062368605466,0.5662586791352826,,,5.559094190597534,0.3012487526893393,775861124
intra_loso_session__VP_02__2026-05-06_10-43-57_3rep,svm,14754,0,1139,0.8911325724319579,0.877633823067206,,,7.608987092971802,0.355747313327806,199251551
intra_loso_session__VP_02__2026-05-06_10-51-06_3rep,svm,14752,0,1141,0.8825591586327782,0.8544122213339913,,,7.681954860687256,0.3586440207559115,290656067
intra_loso_session__VP_02__2026-05-06_10-54-51_3rep,svm,14754,0,1139,0.8884986830553117,0.8702210779498383,,,7.690169811248779,0.3541449478993403,1979329681
intra_loso_session__VP_02__2026-05-06_11-02-58_3rep,svm,14753,0,1140,0.906140350877193,0.8932620999219361,,,7.813029050827026,0.3586124955562123,600730476
intra_loso_session__VP_02__2026-05-06_11-08-12_3rep,svm,14754,0,1139,0.884108867427568,0.8674544398768965,,,7.709042072296143,0.3586357575534623,315480377
intra_loso_session__VP_02__2026-05-06_11-09-25_3rep,svm,14753,0,1140,0.9026315789473685,0.8848510773598306,,,7.740673065185547,0.3594400589926201,37351785
intra_loso_session__VP_04__2026-03-25_14-44-10_5rep,svm,6528,0,2931,0.1736608665984305,0.1039691216193542,,,1.929689884185791,0.1878624522047456,2122441868
